Train Loss:    0.7, Train Acc:  37.50%
Train Loss:   0.68, Train Acc:  62.50%
Train Loss:   0.67, Train Acc:  62.50%
Train Loss:   0.64, Train Acc:  62.50%
Train Loss:   0.61, Train Acc:  71.88%
Train Loss:   0.62, Train Acc:  68.75%
Train Loss:   0.56, Train Acc:  78.12%
Train Loss:   0.43, Train Acc:  90.62%
Train Loss:   0.52, Train Acc:  78.12%
Train Loss:   0.53, Train Acc:  78.12%
Train Loss:   0.45, Train Acc:  87.50%
Train Loss:   0.47, Train Acc:  81.25%
Train Loss:   0.47, Train Acc:  84.38%
Train Loss:   0.51, Train Acc:  81.25%
Train Loss:   0.46, Train Acc:  87.50%
Train Loss:   0.44, Train Acc:  90.62%
Epoch: 1
Train Loss:   0.51, Train Acc:  78.12%
Train Loss:   0.47, Train Acc:  84.38%
Train Loss:   0.41, Train Acc:  90.62%
Train Loss:   0.47, Train Acc:  84.38%
Train Loss:   0.45, Train Acc:  87.50%
Train Loss:    0.4, Train Acc:  93.75%
Train Loss:   0.44, Train Acc:  87.50%
Train Loss:   0.54, Train Acc:  78.12%
Train Loss:   0.38, Train Acc:  93.75%
Train Loss:   0.47, Train Acc:  84.38%
Train Loss:   0.47, Train Acc:  84.38%
Train Loss:   0.43, Train Acc:  87.50%
Train Loss:   0.45, Train Acc:  84.38%
Train Loss:   0.38, Train Acc:  93.75%
Train Loss:    0.5, Train Acc:  81.25%
Train Loss:   0.45, Train Acc:  87.50%
Epoch: 2
Train Loss:   0.48, Train Acc:  81.25%
Train Loss:   0.45, Train Acc:  87.50%
Train Loss:   0.51, Train Acc:  78.12%
Train Loss:   0.36, Train Acc:  96.88%
Train Loss:   0.41, Train Acc:  90.62%
Train Loss:    0.4, Train Acc:  90.62%
Train Loss:   0.37, Train Acc:  93.75%
Train Loss:   0.41, Train Acc:  90.62%
Train Loss:   0.43, Train Acc:  87.50%
Train Loss:   0.41, Train Acc:  93.75%
Train Loss:   0.35, Train Acc:  96.88%
Train Loss:   0.39, Train Acc:  93.75%
Train Loss:   0.43, Train Acc:  87.50%
Train Loss:   0.45, Train Acc:  84.38%
Train Loss:   0.43, Train Acc:  87.50%
Epoch: 3
Train Loss:   0.39, Train Acc:  93.75%
Train Loss:   0.37, Train Acc:  93.75%
Train Loss:   0.34, Train Acc:  96.88%
Train Loss:   0.35, Train Acc:  96.88%
Train Loss:   0.38, Train Acc:  93.75%
Train Loss:   0.41, Train Acc:  90.62%
Train Loss:   0.35, Train Acc:  96.88%
Train Loss:   0.38, Train Acc:  90.62%
Train Loss:   0.35, Train Acc:  93.75%
Train Loss:    0.4, Train Acc:  90.62%
Train Loss:   0.47, Train Acc:  81.25%
Train Loss:   0.41, Train Acc:  90.62%
Train Loss:   0.35, Train Acc:  93.75%
Train Loss:   0.44, Train Acc:  87.50%
Train Loss:   0.37, Train Acc:  93.75%
Train Loss:   0.41, Train Acc:  90.62%
Epoch: 4
Train Loss:   0.36, Train Acc:  96.88%
Train Loss:   0.32, Train Acc: 100.00%
Train Loss:   0.41, Train Acc:  90.62%
Train Loss:   0.36, Train Acc:  93.75%
Train Loss:   0.32, Train Acc: 100.00%
Train Loss:   0.43, Train Acc:  90.62%
Train Loss:   0.36, Train Acc:  93.75%
Train Loss:   0.37, Train Acc:  93.75%
Train Loss:   0.38, Train Acc:  93.75%
Train Loss:   0.36, Train Acc:  93.75%
Train Loss:   0.36, Train Acc:  93.75%
Train Loss:   0.39, Train Acc:  93.75%
Train Loss:   0.33, Train Acc:  96.88%
Train Loss:   0.38, Train Acc:  90.62%
Train Loss:   0.38, Train Acc:  93.75%
Train Loss:   0.39, Train Acc:  93.75%
